,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,24.8,24.8,1
1,1,0,0,0,41,1,2,0,2,2,2,2,2,2,2,1,1,25.25,996.45,0
2,0,0,1,1,52,1,1,0,2,2,2,2,2,2,0,0,2,19.35,1031.7,0
3,0,0,0,0,1,1,1,2,0,0,1,0,0,0,2,0,0,76.35,76.35,1
4,1,0,0,0,67,1,1,1,0,0,0,1,0,0,0,0,1,50.55,3260.1,0
5,0,1,1,0,68,1,2,2,0,1,0,0,0,1,2,1,1,89.6,6127.6,1
6,0,0,1,1,23,1,2,1,1,0,1,1,1,0,0,1,1,77.15,1759.4,0
7,1,0,1,1,72,1,2,1,1,1,1,1,0,0,0,0,3,72.1,5016.65,0
8,1,0,0,0,70,1,2,2,1,0,0,1,1,1,0,1,3,104.0,7250.15,1
9,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,0,2,19.4,19.4,1
10,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,0,2,20.45,20.45,0
11,1,0,1,1,34,1,1,2,0,0,1,0,1,0,2,1,2,84.05,2909.95,0
12,1,1,1,1,28,1,2,1,0,0,0,0,0,0,1,1,0,51.0,1381.8,0
13,0,1,0,0,18,1,2,2,0,1,0,1,0,0,2,1,0,85.45,1505.85,1
14,0,0,1,0,15,1,1,0,2,2,2,2,2,2,2,0,3,20.45,330.8,0
15,0,1,0,0,11,1,2,2,0,0,0,0,1,1,2,1,1,95.15,997.65,1
16,1,0,0,0,11,1,2,1,0,0,1,0,0,0,2,0,0,53.75,608.0,1
17,1,0,1,1,1,1,1,2,0,0,0,0,0,0,2,1,0,70.0,70.0,1
18,0,0,1,1,37,1,2,2,0,1,0,0,1,0,2,1,0,88.8,3340.55,0
19,1,0,0,1,22,1,1,2,0,1,1,0,1,0,2,1,0,89.4,2001.5,1
20,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,1,0,70.25,70.25,0
21,0,0,1,1,1,1,1,0,2,2,2,2,2,2,2,0,0,19.45,19.45,0
22,1,0,1,1,46,1,2,2,0,1,0,0,0,0,2,1,1,80.0,3769.7,0
23,0,0,0,0,51,1,2,2,1,1,1,0,1,1,1,0,1,107.45,5680.9,0
24,0,0,1,0,41,1,1,2,1,1,1,0,1,1,1,1,1,104.45,4162.05,0
25,0,0,1,0,5,1,2,1,0,0,1,1,1,0,2,0,1,67.95,350.3,1
26,0,0,0,0,45,1,2,2,0,1,0,0,1,0,2,1,3,89.3,4016.85,1
27,1,0,1,1,29,1,1,1,1,0,0,0,0,1,2,1,2,60.2,1834.15,0
28,0,1,0,0,15,1,1,2,0,0,0,0,1,1,2,1,0,91.5,1400.3,0
29,1,0,0,0,72,0,0,1,1,1,1,1,1,1,0,1,1,63.7,4464.8,0
30,1,0,1,0,50,1,2,2,1,0,1,0,1,1,1,1,0,103.95,5231.3,0
31,1,0,0,1,27,1,1,0,2,2,2,2,2,2,0,0,2,20.6,581.85,0
32,1,0,1,0,72,1,2,1,0,1,1,1,1,1,0,1,1,85.15,6316.2,0
33,0,0,1,1,51,1,1,1,1,1,0,1,0,1,1,1,3,69.75,3562.5,0
34,0,0,1,0,60,1,2,2,1,1,0,0,0,1,2,1,3,94.1,5475.9,0
35,1,0,0,0,17,1,1,0,2,2,2,2,2,2,0,0,3,19.45,369.05,0
36,0,0,0,0,72,1,1,0,2,2,2,2,2,2,0,1,1,21.15,1419.4,0
37,0,0,1,0,33,1,2,2,0,1,1,0,1,1,2,1,0,104.4,3409.6,1
38,0,1,1,1,66,1,2,2,0,1,1,0,1,1,1,1,0,104.9,6891.45,0
39,0,0,1,1,69,1,2,2,0,1,1,0,1,1,2,1,0,103.95,7446.9,1
40,1,0,0,0,5,1,1,2,0,0,0,0,0,0,2,1,0,69.75,324.6,1
41,0,0,1,0,57,1,2,2,0,0,1,0,1,1,1,1,3,100.75,5985.0,0
42,0,1,0,0,8,1,2,2,0,0,0,0,0,0,2,1,0,75.75,606.25,1
43,0,0,0,0,14,1,1,1,0,1,0,0,0,0,1,0,3,51.45,727.85,0
44,1,0,0,0,25,1,2,2,0,0,0,0,1,1,2,1,1,94.7,2362.1,1
45,0,0,1,1,52,1,1,0,2,2,2,2,2,2,1,0,3,19.6,1012.4,0
46,0,1,0,0,7,1,1,2,1,0,0,0,0,0,2,0,1,76.45,503.6,1
47,1,0,0,0,13,1,1,2,0,1,1,0,0,0,2,1,0,79.8,973.45,1
48,0,1,0,0,15,1,2,2,0,1,0,0,0,1,2,0,0,89.85,1424.95,1
49,1,0,0,0,22,1,1,1,0,1,0,1,0,0,1,1,3,55.15,1193.05,1
50,0,0,0,0,19,1,1,0,2,2,2,2,2,2,2,0,2,19.9,367.55,0
51,1,0,1,1,23,0,0,1,0,0,0,1,0,0,2,1,1,30.35,678.75,0
52,0,0,1,0,72,1,2,2,1,1,1,1,1,1,0,1,1,113.65,8182.75,0
53,1,1,1,0,72,1,2,2,0,1,0,0,1,1,0,0,1,98.35,6929.4,0
54,0,0,1,1,59,1,2,2,0,1,0,1,0,1,2,1,1,96.65,5580.8,0
55,0,0,1,1,70,1,1,1,1,0,0,1,1,1,0,0,3,75.35,5437.75,0
56,1,0,1,1,70,1,1,2,1,1,1,1,1,0,0,1,3,101.1,6994.8,0
57,1,0,1,1,9,1,1,2,0,0,1,1,1,1,2,0,0,103.1,970.45,0
58,0,0,0,0,3,1,2,0,2,2,2,2,2,2,2,0,2,24.6,86.35,0
59,1,1,0,0,17,1,1,2,0,1,1,0,1,1,2,1,0,101.8,1752.45,0
60,0,0,1,1,28,1,1,2,0,0,0,0,0,0,1,1,1,70.4,1992.2,0
61,0,0,0,0,10,1,1,1,0,0,1,1,0,0,2,0,0,54.25,583.0,0
62,1,0,1,1,11,1,1,0,2,2,2,2,2,2,2,0,1,20.95,267.35,0
63,1,1,1,0,72,1,2,2,1,1,1,0,0,1,0,1,3,102.65,7550.3,0
64,1,0,0,0,8,1,1,2,0,0,0,0,0,0,2,1,2,70.1,551.35,1
65,1,1,0,0,69,1,1,0,2,2,2,2,2,2,0,0,3,20.3,1356.3,0
66,0,0,1,1,39,1,1,0,2,2,2,2,2,2,0,1,1,19.85,854.8,0
67,1,0,1,1,67,0,0,1,1,0,0,0,1,1,0,0,3,50.9,3281.65,0
68,1,0,0,0,39,1,1,0,2,2,2,2,2,2,1,0,2,19.9,791.15,0
69,1,0,1,1,54,1,2,1,1,1,0,1,0,0,0,1,3,65.65,3566.7,0
